COURSE,CLIENT,URL,Extension,ID,REDIRECT URL,ADOBE URL OR RECORDING LINK
Providing Hands-on EHR experience for Students,Abel Medical,abel.rallypointwebinars.com,/course/webinar.php?id=,821,rpw.adobeconnect.com/,abel-5-2012r
Agentek Virtual User Conference - Q4 2011,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,216,rpw.adobeconnect.com/,agentek-q4-2011r/
Agentek Virtual User Conference - Q1 2012,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,257,rpw.adobeconnect.com/,agentek-q1-2012r
Agentek Virtual User Conference - Q2 2012,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,591,rpw.adobeconnect.com/,agentek-q2-2012r/
Agentek: The Momentum Continues ,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,1431,rpw.adobeconnect.com/,agentek-q4-2012r
Agentek: Important Customer Briefing,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,1962,rpw.adobeconnect.com/,agentek-q2-2013r
Agentek: Important Customer Briefing Q4 2013,Agentek,agentek.rallypointwebinars.com,/course/webinar.php?id=,2532,rpw.adobeconnect.com/,agentekq42013
Alterpoint Virtual User Conference - Q3 2011,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,198,rpw.adobeconnect.com/,p50tbx06cxd
Alterpoint Virtual User Conference - Q4 2011,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,240,rpw.adobeconnect.com/,alterpoint-q4-2011r/
Alterpoint Virtual User Conference - Q1 2012,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,411,rpw.adobeconnect.com/,alterpoint-q1-2012r/
Alterpoint Virtual User Conference - Q2 2012,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,981,rpw.adobeconnect.com/,alterpoint-q2-2012r/
AlterPoint: Version 8 Is Here!,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,1211,rpw.adobeconnect.com/,alterpoint-q3-2012r
AlterPoint Virtual User Conference Q4 2012,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,1562,rpw.adobeconnect.com/,alterpoint-q4-2012rec
AlterPoint: Version 8.3 Standard is Here!,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,1562,rpw.adobeconnect.com/,alterpoint-q4-2012r
AlterPoint: Happy Anniversary!,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,1822,rpw.adobeconnect.com/,alterpoint-q1-2013r
AlterPoint: Checking In at Mid-year,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,2122,rpw.adobeconnect.com/,alterpoint-q2-2013r
AlterPoint: Important Customer Briefing,Alterpoint,alterpoint.rallypointwebinars.com,/course/webinar.php?id=,2512,rpw.adobeconnect.com/,alterpoint2013q4
AppDev 2012 Virtual User Conference,App Dev,appdev.rallypointwebinars.com,/course/webinar.php?id=,971,rpw.adobeconnect.com/,appdev-q2-2012r/
Learning Ecosystem,Aptara,aptara.rallypointwebinars.com,/course/webinar.php?id=,2867,rpw.adobeconnect.com/,aptara-07-29-15/
Learning Ecosystems: A Holistic Approach,Aptara,aptara.rallypointwebinars.com,/course/webinar.php?id=,2867,rpw.adobeconnect.com/,aptara07292015/
Top 5 Innovative Industry Trends and Aptara’s Solutions,Aptara,aptara.rallypointwebinars.com,/course/webinar.php?id=,2874,rpw.adobeconnect.com/,aptara-09-2015/
Top 5 Industry Trends and Aptara’s Solutions,Aptara,aptara.rallypointwebinars.com,/course/webinar.php?id=,2874,rpw.adobeconnect.com/,aptara10202015/
Artemis Paris Event,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,179,rpw.adobeconnect.com/,artemis611
A9000 EX Demo,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,187,rpw.adobeconnect.com/,a9000exv4
Artemis Finland Virtual User Conference - Q4 2011,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,235,rpw.adobeconnect.com/,artemisfin-q4-2011r/
Artemis 9000/EX Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,601,rpw.adobeconnect.com/,a9000-q2-2012r/
Accept Customer Briefing Webinar,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1411,rpw.adobeconnect.com/,aa-q4-2012r
Fall 2012 Artemis Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1421,rpw.adobeconnect.com/,artemis-q4-2012r
Artemis 9000 December 2012 Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1442,rpw.adobeconnect.com/,a9000-q4-2012rb
Views Virtual User Conference Fall 2012,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1462,rpw.adobeconnect.com/,views-q4-2012rb
Artemis Finland: Building Momentum - Q4 2012,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1472,rpw.adobeconnect.com/,artemisfin-q4-2012rb
Artemis 7 November 2012,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1482,rpw.adobeconnect.com/,a7-q4-2012r
A360 Q4 2012,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1512,rpw.adobeconnect.com/,artemis360-q4-2012r
Accept360 2013 Roadmap Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,1672,rpw.adobeconnect.com/,accept-jan-2013r
Artemis VUC Q2 2013,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2002,rpw.adobeconnect.com/,artemis-q2-2013r
Spring 2013 Accept Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2022,rpw.adobeconnect.com/,accept-may-2013r
See What's New for Artemis 7 2013,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2052,rpw.adobeconnect.com/,artemis620r
See What's New for Views 2013,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2062,rpw.adobeconnect.com/,views626r
See What's New for Artemis 9000/EX 2013,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2072,rpw.adobeconnect.com/,artemis627r
2014: A New Generation of Artemis Products,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2767,rpw.adobeconnect.com/,artemis130
Artemis/Accept Virtual User Conference,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2767,rpw.adobeconnect.com/,artemisq12014
Artemis 9000/EX Virtual User Conference - February 2014,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2768,rpw.adobeconnect.com/,artemis211
"Artemis 9000/EX Virtual User Conference, February 2014",Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2768,rpw.adobeconnect.com/,artemis022014
Artemis 7 Virtual User Conference - February 2014,Artemis,artemis.rallypointwebinars.com,/course/webinar.php?id=,2769,rpw.adobeconnect.com/,artemis226
